eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID,measurementMethod
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,48,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0040-Specimen_Length,IYS2022-002-037-95C-0040,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0040-Specimen_Weight,IYS2022-002-037-95C-0040,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0040-Sex,IYS2022-002-037-95C-0040,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0041-Ageclass,IYS2022-002-037-95C-0041,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,46,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0041-Specimen_Length,IYS2022-002-037-95C-0041,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,6,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0041-Specimen_Weight,IYS2022-002-037-95C-0041,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0041-Sex,IYS2022-002-037-95C-0041,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0042-Ageclass,IYS2022-002-037-95C-0042,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,50,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0042-Specimen_Length,IYS2022-002-037-95C-0042,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0042-Specimen_Weight,IYS2022-002-037-95C-0042,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0042-Sex,IYS2022-002-037-95C-0042,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0043-Ageclass,IYS2022-002-037-95C-0043,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,47,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0043-Specimen_Length,IYS2022-002-037-95C-0043,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0043-Specimen_Weight,IYS2022-002-037-95C-0043,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0043-Sex,IYS2022-002-037-95C-0043,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0044-Ageclass,IYS2022-002-037-95C-0044,
